source_url	parsed_url
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1/Cloudflare_WARP_Release-x64.msi
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://1.1.1.1/Cloudflare_WARP.zip
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://1.1.1.1/site-9da64590d1d96e26cb8f.css
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1.1.1.1
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/huddle/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-16x16.png
https://www.politico.com/tipsheets/morning-money	https://twitter.com/politico
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/archive
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-96x96.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/politics
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/bd69088/2147483647/legacy_thumbnail/144x144/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/11/23/trump-election-michigan-results-439691
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/27ede68/2147483647/legacy_thumbnail/72x72/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-120x120.png
https://www.politico.com/tipsheets/morning-money	http://api.addthis.com/oexchange/0.8/forward/facebook/offer?pco=tbx32nj-1.0&amp;url=https://politi.co/399dS6s&amp;pubid=politico.com
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy-policy
